iter	Passed	Remaining
199	701	2805
200	704	2801
201	707	2796
202	711	2792
203	714	2787
204	717	2783
205	721	2780
206	724	2776
207	728	2772
208	731	2767
209	734	2763
210	737	2758
211	741	2754
212	744	2750
213	747	2746
214	751	2742
215	754	2738
216	757	2734
217	761	2730
218	764	2728
219	768	2723
220	771	2718
221	775	2716
222	778	2712
223	782	2709
224	785	2704
225	788	2700
226	791	2696
227	795	2692
228	798	2687
229	801	2683
230	804	2679
231	808	2674
232	811	2670
233	814	2666
234	817	2661
235	820	2657
236	824	2653
237	827	2649
238	830	2645
239	834	2641
240	837	2638
241	841	2635
242	844	2631
243	848	2627
244	851	2623
245	854	2620
246	858	2615
247	861	2611
248	864	2607
249	867	2603
250	871	2599
251	874	2595
252	877	2591
253	880	2587
254	884	2583
255	887	2580
256	891	2576
257	894	2572
258	897	2568
259	900	2564
260	904	2560
261	907	2556
262	911	2553
263	914	2548
264	917	2544
265	920	2540
266	924	2536
267	927	2532
268	930	2529
269	933	2524
270	937	2521
271	940	2516
272	943	2512
273	946	2508
274	950	2504
275	953	2501
276	956	2497
277	960	2493
278	963	2490
279	967	2486
280	970	2482
281	973	2479
282	977	2475
283	980	2471
284	983	2467
285	986	2463
286	990	2460
287	993	2456
288	996	2452
289	1000	2448
290	1003	2445
291	1007	2441
292	1010	2437
293	1013	2434
294	1016	2430
295	1023	2433
296	1026	2429
297	1029	2425
298	1032	2421
299	1036	2418
300	1040	2415
301	1043	2410
302	1046	2406
303	1049	2402
304	1052	2398
305	1055	2394
306	1058	2390
307	1062	2386
308	1065	2382
309	1068	2378
310	1071	2374
311	1075	2370
312	1078	2366
313	1081	2362
314	1084	2359
315	1088	2355
316	1091	2351
317	1094	2347
318	1098	2344
319	1101	2340
320	1104	2336
321	1107	2332
322	1111	2329
323	1114	2326
324	1118	2322
325	1121	2318
326	1124	2314
327	1128	2311
328	1131	2308
329	1135	2304
330	1138	2300
331	1141	2297
332	1145	2293
333	1148	2290
334	1151	2286
335	1155	2283
336	1158	2279
337	1162	2276
338	1165	2272
339	1169	2269
340	1172	2265
341	1175	2262
342	1179	2258
343	1182	2254
344	1185	2251
345	1189	2247
346	1192	2243
347	1195	2240
348	1199	2236
349	1202	2233
350	1205	2229
351	1209	2226
352	1212	2222
353	1215	2218
354	1219	2214
355	1222	2211
356	1225	2207
357	1229	2203
358	1232	2200
359	1235	2196
360	1239	2193
361	1242	2189
362	1245	2186
363	1249	2182
364	1252	2178
365	1255	2175
366	1259	2171
367	1262	2167
368	1265	2164
369	1269	2160
370	1272	2157
371	1275	2153
372	1279	2149
373	1282	2146
374	1285	2142
375	1288	2138
376	1291	2135
377	1295	2131
378	1299	2128
379	1302	2125
380	1305	2121
381	1309	2117
382	1312	2114
383	1315	2110
384	1319	2107
385	1322	2103
386	1325	2100
387	1329	2096
388	1332	2092
389	1335	2089
390	1338	2085
391	1342	2082
392	1345	2078
393	1349	2075
394	1352	2071
395	1356	2068
396	1359	2065
397	1362	2061
398	1366	2057
399	1369	2054
400	1373	2051
401	1376	2048
402	1380	2044
403	1383	2040
404	1386	2037
405	1390	2033
406	1393	2030
407	1396	2026
408	1399	2022
409	1404	2021
410	1407	2017
411	1410	2013
412	1413	2009
413	1417	2005
414	1420	2001
415	1423	1998
416	1426	1994
417	1429	1990
418	1432	1986
419	1436	1983
420	1439	1979
421	1442	1975
422	1445	1972
423	1449	1968
424	1452	1965
425	1455	1961
426	1459	1957
427	1462	1954
428	1465	1950
429	1468	1947
430	1472	1943
431	1475	1939
432	1478	1936
433	1482	1932
434	1485	1929
435	1488	1925
436	1491	1921
437	1495	1918
438	1498	1914
439	1501	1911
440	1504	1907
441	1508	1904
442	1511	1900
443	1514	1896
444	1518	1893
445	1521	1889
446	1525	1886
447	1528	1883
448	1531	1879
449	1534	1875
450	1538	1872
451	1541	1868
452	1544	1865
453	1547	1861
454	1551	1858
455	1554	1855
456	1558	1851
457	1561	1848
458	1565	1844
459	1568	1841
460	1572	1838
461	1575	1834
462	1578	1831
463	1582	1827
464	1586	1825
465	1589	1821
466	1592	1817
467	1596	1814
468	1599	1810
469	1602	1807
470	1605	1803
471	1608	1799
472	1612	1796
473	1615	1792
474	1618	1789
475	1622	1785
476	1625	1781
477	1628	1778
478	1631	1774
479	1635	1771
480	1638	1768
481	1642	1764
482	1645	1761
483	1648	1757
484	1651	1753
485	1655	1750
486	1658	1746
487	1661	1743
488	1664	1739
489	1668	1736
490	1671	1732
491	1674	1729
492	1677	1725
493	1681	1722
494	1684	1718
495	1687	1714
496	1690	1711
497	1694	1707
498	1697	1704
499	1700	1700
500	1704	1697
501	1707	1694
502	1712	1691
503	1716	1689
504	1720	1686
505	1724	1683
506	1728	1680
507	1732	1677
508	1736	1674
509	1739	1671
510	1743	1668
511	1746	1664
512	1749	1661
513	1753	1657
514	1756	1654
515	1759	1650
516	1763	1647
517	1766	1643
518	1769	1640
519	1773	1636
520	1776	1633
521	1779	1629
522	1783	1626
523	1786	1622
524	1789	1619
525	1792	1615
526	1796	1612
527	1799	1608
528	1802	1604
529	1805	1601
530	1809	1597
531	1812	1594
532	1815	1590
533	1818	1587
534	1822	1583
535	1825	1580
536	1828	1576
537	1832	1573
538	1835	1569
539	1838	1566
540	1841	1562
541	1845	1559
542	1848	1555
543	1852	1552
544	1855	1548
545	1859	1545
546	1862	1542
547	1865	1538
548	1868	1535
549	1871	1531
550	1875	1528
551	1878	1524
552	1881	1521
553	1885	1517
554	1888	1514
555	1891	1510
556	1894	1507
557	1898	1503
558	1901	1500
559	1904	1496
560	1907	1493
561	1911	1489
562	1914	1485
563	1917	1482
564	1921	1479
565	1924	1475
566	1927	1472
567	1931	1468
568	1934	1465
569	1937	1461
570	1941	1458
571	1944	1454
572	1947	1451
573	1950	1447
574	1954	1444
575	1957	1440
576	1960	1437
577	1964	1433
578	1967	1430
579	1970	1426
580	1973	1423
581	1976	1419
582	1980	1416
583	1983	1412
584	1987	1409
585	1990	1406
586	1993	1402
587	1996	1399
588	2000	1395
589	2003	1392
590	2006	1388
591	2009	1385
592	2013	1381
593	2016	1378
594	2019	1374
595	2023	1371
596	2026	1367
597	2029	1364
598	2032	1360
599	2036	1357
600	2039	1354
601	2043	1350
602	2046	1347
603	2049	1343
604	2053	1340
605	2056	1337
606	2059	1333
607	2063	1330
608	2066	1326
609	2070	1323
610	2073	1320
611	2076	1316
612	2079	1313
613	2083	1309
614	2086	1306
615	2089	1302
616	2093	1299
617	2096	1295
618	2099	1292
619	2103	1289
620	2106	1285
621	2109	1282
622	2113	1278
623	2116	1275
624	2119	1271
625	2123	1268
626	2126	1265
627	2130	1261
628	2133	1258
629	2136	1254
630	2140	1251
631	2143	1248
632	2146	1244
633	2150	1241
634	2153	1237
635	2156	1234
636	2160	1231
637	2163	1227
638	2167	1224
639	2170	1220
640	2173	1217
641	2177	1214
642	2180	1210
643	2184	1207
644	2187	1204
645	2191	1200
646	2194	1197
647	2197	1193
648	2201	1190
649	2204	1187
650	2208	1183
651	2211	1180
652	2215	1177
653	2218	1173
654	2221	1170
655	2225	1166
656	2228	1163
657	2232	1160
658	2235	1156
659	2238	1153
660	2242	1149
661	2245	1146
662	2248	1143
663	2252	1139
664	2255	1136
665	2258	1132
666	2262	1129
667	2265	1126
668	2269	1122
669	2272	1119
670	2275	1115
671	2279	1112
672	2282	1109
673	2286	1105
674	2289	1102
675	2293	1099
676	2296	1095
677	2299	1092
678	2303	1088
679	2306	1085
680	2310	1082
681	2313	1078
682	2316	1075
683	2320	1071
684	2323	1068
685	2327	1065
686	2330	1061
687	2333	1058
688	2337	1054
689	2340	1051
690	2343	1048
691	2347	1044
692	2350	1041
693	2353	1037
694	2357	1034
695	2360	1031
696	2363	1027
697	2367	1024
698	2370	1020
699	2374	1017
700	2377	1014
701	2381	1010
702	2384	1007
703	2388	1004
704	2391	1000
705	2394	997
706	2398	993
707	2401	990
708	2405	987
709	2408	983
710	2411	980
711	2414	976
712	2418	973
713	2421	970
714	2425	966
715	2428	963
716	2432	959
717	2435	956
718	2438	953
719	2441	949
720	2445	946
721	2448	942
722	2451	939
723	2454	935
724	2458	932
725	2461	928
726	2464	925
727	2467	922
728	2471	918
729	2474	915
730	2477	911
731	2481	908
732	2484	905
733	2488	901
734	2491	898
735	2494	894
736	2497	891
737	2501	887
738	2504	884
739	2508	881
740	2511	877
741	2514	874
742	2518	871
743	2521	867
744	2524	864
745	2528	860
746	2531	857
747	2535	854
748	2538	850
749	2541	847
750	2545	843
751	2548	840
752	2551	837
753	2555	833
754	2558	830
755	2561	826
756	2565	823
757	2568	820
758	2572	816
759	2575	813
760	2578	809
761	2581	806
762	2585	802
763	2588	799
764	2591	796
765	2595	792
766	2598	789
767	2601	785
768	2605	782
769	2608	779
770	2611	775
771	2614	772
772	2618	768
773	2621	765
774	2624	762
775	2628	758
776	2631	755
777	2634	751
778	2638	748
779	2641	744
780	2644	741
781	2648	738
782	2651	734
783	2654	731
784	2658	728
785	2661	724
786	2665	721
787	2668	717
788	2671	714
789	2675	711
790	2679	707
791	2682	704
792	2685	701
793	2689	697
794	2692	694
795	2695	690
796	2699	687
797	2702	684
798	2705	680
799	2709	677
800	2712	673
801	2715	670
802	2718	667
803	2722	663
804	2725	660
805	2729	656
806	2732	653
807	2736	650
808	2739	646
809	2742	643
810	2746	639
811	2749	636
812	2752	633
813	2755	629
814	2758	626
815	2761	622
816	2765	619
817	2768	615
818	2771	612
819	2774	609
820	2777	605
821	2781	602
822	2785	599
823	2788	595
824	2791	592
825	2795	588
826	2798	585
827	2803	582
828	2806	578
829	2809	575
830	2813	572
831	2816	568
832	2820	565
833	2823	562
834	2827	558
835	2830	555
836	2833	551
837	2837	548
838	2840	545
839	2843	541
840	2847	538
841	2850	534
842	2853	531
843	2857	528
844	2860	524
845	2863	521
846	2867	517
847	2870	514
848	2873	511
849	2877	507
850	2880	504
851	2883	500
852	2887	497
853	2890	494
854	2893	490
855	2897	487
856	2900	483
857	2903	480
858	2907	477
859	2910	473
860	2913	470
861	2916	466
862	2920	463
863	2923	460
864	2926	456
865	2930	453
866	2933	449
867	2936	446
868	2939	443
869	2943	439
870	2946	436
871	2949	432
872	2953	429
873	2956	426
874	2959	422
875	2962	419
876	2965	415
877	2968	412
878	2972	409
879	2975	405
880	2978	402
881	2981	398
882	2985	395
883	2988	392
884	2991	388
885	2994	385
886	2997	381
887	3001	378
888	3004	375
889	3007	371
890	3011	368
891	3014	364
892	3017	361
893	3020	358
894	3023	354
895	3027	351
896	3030	347
897	3033	344
898	3036	341
899	3040	337
900	3043	334
901	3046	331
902	3050	327
903	3053	324
904	3057	320
905	3060	317
906	3063	314
907	3067	310
908	3070	307
909	3074	304
910	3077	300
911	3080	297
912	3083	293
913	3087	290
914	3091	287
915	3094	283
916	3097	280
917	3101	277
918	3104	273
919	3108	270
920	3111	266
921	3115	263
922	3118	260
923	3121	256
924	3125	253
925	3128	250
926	3131	246
927	3135	243
928	3138	239
929	3141	236
930	3145	233
931	3148	229
932	3151	226
933	3155	222
934	3158	219
935	3161	216
936	3165	212
937	3168	209
938	3171	206
939	3174	202
940	3178	199
941	3181	195
942	3184	192
943	3187	189
944	3191	185
945	3194	182
946	3197	178
947	3201	175
948	3204	172
949	3207	168
950	3211	165
951	3214	162
952	3217	158
953	3221	155
954	3224	151
955	3227	148
956	3231	145
957	3234	141
958	3237	138
959	3241	135
960	3244	131
961	3248	128
962	3251	124
963	3255	121
964	3258	118
965	3262	114
966	3265	111
967	3268	108
968	3272	104
969	3275	101
970	3279	97
971	3282	94
972	3286	91
973	3289	87
974	3292	84
975	3295	81
976	3299	77
977	3302	74
978	3305	70
979	3309	67
980	3312	64
981	3315	60
982	3318	57
983	3322	54
984	3325	50
985	3328	47
986	3332	43
987	3335	40
988	3338	37
989	3341	33
990	3344	30
991	3348	27
992	3351	23
993	3354	20
994	3357	16
995	3361	13
996	3364	10
997	3367	6
998	3370	3
999	3373	0
